District,Month,Soil_Type,N,P,K,pH,Temperature_C,Humidity_%,Rainfall_mm,Sunlight_lux,Recommended_Crop
Solapur,April,Black,94,50,47,6.6,26,58,73,31685,Tomato
Solapur,February,Red,117,41,40,6.3,25,83,98,55658,Tomato
Solapur,October,Loamy,82,44,58,6.68,28,78,67,40627,Tomato
Solapur,December,Red,88,41,59,6.24,26,83,57,44541,Tomato
Solapur,April,Red,119,43,41,6.43,25,81,53,39692,Tomato
Solapur,February,Red,113,49,43,6.6,27,53,111,54276,Tomato
Sangli,February,Loamy,103,52,48,6.3,20,64,58,32027,Tomato
Sangli,August,Loamy,90,58,56,6.71,22,72,54,33561,Tomato
Solapur,October,Black,107,46,48,6.62,21,72,97,65222,Tomato
Sangli,August,Black,114,51,47,6.27,22,40,96,43773,Tomato
Solapur,January,Black,105,53,46,6.04,29,81,100,52403,Tomato
Sangli,May,Loamy,118,52,54,6.76,23,52,81,46198,Tomato
Solapur,March,Red,107,41,49,6.81,28,45,77,59723,Tomato
Sangli,December,Red,90,46,40,6.27,28,52,52,51959,Tomato
Solapur,September,Red,116,40,58,6.27,27,54,108,58021,Tomato
Sangli,August,Black,91,46,41,6.71,24,56,108,56736,Tomato
Sangli,February,Red,102,44,40,6.63,21,83,81,56309,Tomato
Sangli,July,Loamy,90,56,45,6.37,23,73,119,53509,Tomato
Solapur,January,Black,85,55,42,6.59,23,58,116,60206,Tomato
Solapur,April,Loamy,112,47,46,6.94,20,50,106,69384,Tomato
Sangli,July,Loamy,109,49,42,6.23,29,41,50,68191,Tomato
Sangli,December,Black,116,48,48,6.35,22,59,73,42183,Tomato
Sangli,November,Black,87,43,45,6.67,22,64,74,32961,Tomato
Sangli,February,Red,114,55,48,6.18,23,72,63,55876,Tomato
Sangli,April,Loamy,82,56,40,6.54,22,61,71,36893,Tomato
Sangli,June,Red,87,41,40,6.58,20,44,110,39007,Tomato
Solapur,April,Loamy,96,51,53,6.91,22,80,86,48711,Tomato
Solapur,January,Red,110,42,40,6.08,24,71,82,49778,Tomato
Sangli,February,Black,110,42,47,6.07,21,71,96,41093,Tomato
Solapur,February,Loamy,106,49,41,6.32,27,72,58,42533,Tomato
Sangli,July,Black,105,42,57,6.87,29,46,106,34780,Tomato
Sangli,January,Red,95,53,51,6.89,21,41,81,40966,Tomato
Solapur,June,Loamy,104,56,59,6.04,25,82,109,57236,Tomato
Solapur,August,Black,84,46,43,6.84,23,69,96,45202,Tomato
Solapur,August,Black,109,58,56,6.4,22,67,107,55945,Tomato
Solapur,October,Black,102,48,51,6.41,29,40,83,37805,Tomato
Sangli,September,Black,80,55,46,6.66,24,61,116,49531,Tomato
Sangli,March,Black,101,53,44,6.09,23,44,65,65247,Tomato
Solapur,July,Black,109,44,49,6.95,23,73,101,53289,Tomato
Solapur,October,Black,84,52,43,6.62,26,41,81,30851,Tomato
Sangli,December,Red,114,40,40,6.81,24,51,116,62320,Tomato
Solapur,August,Red,108,52,51,6.1,21,74,57,53132,Tomato
Sangli,October,Red,113,58,48,6.5,29,84,78,37543,Tomato
Sangli,September,Black,115,49,44,6.75,22,74,85,67841,Tomato
Solapur,July,Loamy,111,44,51,6.43,26,64,79,44397,Tomato
Sangli,September,Red,92,58,56,6.05,28,58,58,65270,Tomato
Sangli,April,Loamy,95,44,42,6.6,23,60,102,31167,Tomato
Solapur,July,Black,118,53,44,6.74,21,51,58,53625,Tomato
Sangli,December,Black,117,46,53,6.7,29,48,99,53322,Tomato
Sangli,February,Black,108,44,45,6.99,20,61,66,67080,Tomato
Solapur,April,Red,110,58,51,6.56,29,65,68,58710,Tomato
Sangli,March,Black,92,57,59,6.12,28,78,50,69298,Tomato
Solapur,December,Red,104,40,45,6.44,29,83,94,52700,Tomato
Solapur,May,Red,100,50,44,6.25,22,59,106,36190,Tomato
Solapur,January,Red,94,40,42,6.9,28,50,61,64121,Tomato
Sangli,August,Red,91,47,43,6.46,29,67,90,34835,Tomato
Sangli,November,Red,96,48,40,6.41,22,45,118,40136,Tomato
Sangli,October,Red,84,40,40,6.48,20,50,75,34158,Tomato
Solapur,June,Loamy,106,56,52,6.06,28,74,50,30404,Tomato
Sangli,July,Red,107,56,44,7.0,25,42,102,53574,Tomato
Solapur,May,Black,89,49,58,6.25,28,40,100,47100,Tomato
Sangli,January,Black,119,41,47,6.02,29,73,103,58538,Tomato
Sangli,December,Black,84,56,55,6.48,26,54,63,67441,Tomato
Solapur,March,Loamy,117,41,45,6.61,21,69,100,40209,Tomato
Sangli,September,Red,112,54,49,6.86,24,68,53,49856,Tomato
Sangli,January,Black,113,45,41,6.33,22,62,104,45183,Tomato
Solapur,November,Red,95,47,43,6.18,27,64,116,48271,Tomato
Solapur,November,Black,111,57,58,6.04,24,57,91,66668,Tomato
Sangli,May,Red,80,44,48,6.36,21,53,94,46282,Tomato
Solapur,October,Black,101,54,50,6.92,20,65,85,43568,Tomato
Sangli,January,Loamy,94,54,53,6.62,26,53,51,46748,Tomato
Sangli,November,Loamy,86,42,54,6.84,21,77,64,38152,Tomato
Solapur,May,Red,118,56,46,6.09,28,56,62,36168,Tomato
Sangli,October,Loamy,97,54,43,6.54,21,47,89,45728,Tomato
Sangli,March,Red,116,45,59,6.65,21,84,119,33812,Tomato
Solapur,January,Black,101,45,45,6.25,23,69,111,40589,Tomato
Solapur,August,Loamy,88,42,58,6.02,24,75,73,68110,Tomato
Sangli,February,Loamy,83,54,45,6.98,27,77,100,68328,Tomato
Sangli,November,Red,84,45,43,6.43,20,59,61,32048,Tomato
Sangli,June,Black,90,43,52,6.53,20,45,99,30009,Tomato
Solapur,July,Red,81,52,47,6.81,20,76,66,57534,Tomato
Sangli,June,Loamy,114,56,44,6.83,21,53,58,49019,Tomato
Solapur,March,Black,119,47,50,6.8,22,60,86,49282,Tomato
Solapur,October,Red,83,52,49,6.39,27,47,88,59287,Tomato
Sangli,March,Black,117,40,54,6.58,20,72,115,48381,Tomato
Solapur,August,Loamy,118,58,45,6.94,26,47,91,51951,Tomato
Sangli,January,Red,118,43,45,6.75,24,66,104,32336,Tomato
Sangli,April,Red,81,49,44,6.88,20,77,62,53710,Tomato
Solapur,April,Black,103,59,54,6.8,24,68,96,48755,Tomato
Sangli,February,Loamy,110,58,58,6.57,29,82,76,64884,Tomato
Sangli,November,Red,89,47,45,6.23,26,65,95,54938,Tomato
Sangli,October,Black,119,57,40,6.02,23,43,54,68727,Tomato
Solapur,October,Black,107,48,58,6.74,27,80,60,43718,Tomato
Solapur,May,Black,105,53,43,6.12,28,40,112,67430,Tomato
Solapur,August,Loamy,100,54,48,6.74,29,65,90,55150,Tomato
Sangli,September,Red,90,45,41,6.47,21,66,66,36783,Tomato
Solapur,November,Loamy,103,46,59,6.42,27,72,98,67148,Tomato
Solapur,November,Red,105,57,56,6.18,23,80,98,67011,Tomato
Sangli,June,Loamy,119,56,46,6.6,26,58,111,32079,Tomato
Sangli,January,Black,108,55,47,6.59,20,53,96,58865,Tomato
Sangli,December,Black,109,45,58,6.16,20,47,78,42342,Tomato
Solapur,March,Red,89,58,53,6.53,20,62,104,56399,Tomato
Sangli,July,Black,87,40,42,6.23,27,76,116,69986,Tomato
