Crop,Growth_Stage,Soil_Type,N,P,K,pH,Recommended_Fertilizer
Brinjal,Fruiting,Black Soil,46,26.3,65.6,6.53,Cow Manure Compost
Brinjal,Fruiting,Sandy Loam,49.8,28.4,83.2,6.33,Vermicompost
Brinjal,Flowering,Black Soil,52.2,49.3,38.5,7.15,Bone Meal
Brinjal,Flowering,Reddish Soil,51.5,47,39.3,6.67,Seaweed Extract
Brinjal,Seedling,Reddish Soil,32.8,16.8,10.8,6.78,Jeevamrut
Brinjal,Flowering,Reddish Soil,53.2,47.9,48.7,6.25,Vermicompost
Brinjal,Seedling,Black Soil,20.7,12.6,17,6.73,Cow Manure Compost + Urea (46% N) (small dose)
Brinjal,Vegetative,Reddish Soil,77.3,39.2,35.1,6.08,Neem Cake + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Sandy Loam,64.6,42.6,68.4,6.31,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Sandy Loam,77.6,33.5,41.1,6.86,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Black Soil,61.3,43.7,75.4,7.45,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Black Soil,76.3,22.5,30.8,6.74,Seaweed Extract
Brinjal,Fruiting,Sandy Loam,59.2,32.4,76.7,6.3,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Sandy Loam,22,17,13.1,6.64,Vermicompost
Brinjal,Vegetative,Black Soil,77.3,26.8,41.2,6.74,Vermicompost
Brinjal,Fruiting,Reddish Soil,51.1,38.2,64.7,6.69,Vermicompost
Brinjal,Vegetative,Sandy Loam,79.3,27.6,44.1,6.53,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Black Soil,62.6,35.3,35.8,6.96,Vermicompost
Brinjal,Vegetative,Black Soil,75.6,21,29.7,6.99,Seaweed Extract
Brinjal,Seedling,Sandy Loam,34.3,10.2,14.6,7.12,Vermicompost
Brinjal,Vegetative,Reddish Soil,83,24.1,31.4,6.47,Seaweed Extract
Brinjal,Fruiting,Reddish Soil,51.4,36.8,62.2,6.15,Cow Manure Compost
Brinjal,Fruiting,Sandy Loam,53.6,41.6,84.7,6.39,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Sandy Loam,26.8,11,20.6,6.23,Jeevamrut
Brinjal,Vegetative,Reddish Soil,71.4,35,26.9,6.48,Neem Cake
Brinjal,Seedling,Reddish Soil,30.3,18.6,11.3,6.86,Jeevamrut
Brinjal,Flowering,Sandy Loam,64.8,49.2,48.6,6.77,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Reddish Soil,62,46.1,37.2,6.4,Bone Meal
Brinjal,Seedling,Sandy Loam,24.2,10,11.9,7.13,Cow Manure Compost
Brinjal,Vegetative,Black Soil,62.9,34.4,30.6,6.68,Seaweed Extract
Brinjal,Seedling,Reddish Soil,32.8,15.5,22.4,6.3,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Reddish Soil,66,24.3,30.8,6.17,Seaweed Extract
Brinjal,Fruiting,Black Soil,59.4,27,78.7,6.86,Vermicompost
Brinjal,Seedling,Black Soil,33.7,16.1,18.2,6.75,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Black Soil,55.8,35.2,67.3,7.24,Vermicompost
Brinjal,Fruiting,Black Soil,55.7,32.9,85.4,6.99,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Sandy Loam,66.9,26.6,29.2,6.69,Seaweed Extract
Brinjal,Fruiting,Black Soil,63.7,43.2,66.3,6.54,Cow Manure Compost
Brinjal,Flowering,Black Soil,56.2,37.4,50.4,7.31,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Black Soil,56.1,28.5,71.4,7.34,Vermicompost
Brinjal,Flowering,Black Soil,52.1,45.6,53.2,6.88,Vermicompost
Brinjal,Fruiting,Sandy Loam,52.6,42.4,79.9,6.54,Wood Ash (Organic Potash) + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Reddish Soil,61.6,44.3,53.3,6.71,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Black Soil,87.9,32.8,31.2,7.03,Seaweed Extract
Brinjal,Vegetative,Sandy Loam,67.6,36.2,43.9,6.34,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Sandy Loam,61.3,44.1,87.8,7.11,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Reddish Soil,60,47.9,53.4,6.06,Bone Meal + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Black Soil,78.1,24.5,35.9,7.19,Seaweed Extract
Brinjal,Seedling,Black Soil,25.1,14.3,22.7,6.86,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Reddish Soil,78.1,29.9,25.8,6.98,Seaweed Extract
Brinjal,Flowering,Reddish Soil,60.7,43.5,43.3,6.73,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Reddish Soil,77.2,32.7,36.1,6.74,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Black Soil,69.3,48.3,45.1,7.3,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Sandy Loam,54.2,36,88.5,7.2,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Reddish Soil,55.3,48.1,41.4,6.55,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Black Soil,20.4,16.9,14.7,6.56,Cow Manure Compost + Urea (46% N) (small dose)
Brinjal,Fruiting,Black Soil,59.1,33.1,87.6,7.15,Wood Ash (Organic Potash) + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Reddish Soil,57.4,32.7,45.4,6.11,Bone Meal
Brinjal,Flowering,Sandy Loam,58.5,40.3,42.4,6.94,Bone Meal + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Black Soil,33.6,18.2,23.3,6.7,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Black Soil,21.1,11.1,22.6,6.74,Cow Manure Compost + Urea (46% N) (small dose)
Brinjal,Fruiting,Reddish Soil,56.9,31.7,67.9,6.12,Wood Ash (Organic Potash) + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Black Soil,28.5,16,12.5,6.88,Cow Manure Compost
Brinjal,Fruiting,Reddish Soil,53.3,38.8,70.3,6.28,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Reddish Soil,53.3,46.2,52.1,6.91,Vermicompost
Brinjal,Vegetative,Reddish Soil,80.9,32.8,31.4,6.09,Seaweed Extract
Brinjal,Seedling,Sandy Loam,34.5,10.1,17.2,6.53,Cow Manure Compost
Brinjal,Flowering,Black Soil,62.5,32.9,51.5,6.74,Bone Meal
Brinjal,Fruiting,Reddish Soil,61.4,37.3,85,6.49,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Sandy Loam,64.2,49,39.9,6.95,Bone Meal
Brinjal,Flowering,Black Soil,61.6,33.3,49.2,6.68,Vermicompost
Brinjal,Fruiting,Black Soil,57.4,38.3,85.1,6.72,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Sandy Loam,31,16.9,22.5,6.45,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Reddish Soil,70.1,35.3,33.7,6.48,Neem Cake + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Sandy Loam,67.4,34.3,36.7,6.68,Bone Meal
Brinjal,Flowering,Black Soil,57.6,31.8,41.8,7.48,Bone Meal
Brinjal,Vegetative,Black Soil,85.1,39.5,44.5,6.57,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Sandy Loam,65.4,33.8,36.3,7.06,Vermicompost
Brinjal,Flowering,Reddish Soil,68.8,40.4,42,6.23,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Sandy Loam,21.2,11.9,16.6,6.78,Vermicompost + Urea (46% N) (small dose)
Brinjal,Seedling,Black Soil,23.1,14.7,22,6.68,Cow Manure Compost
Brinjal,Vegetative,Reddish Soil,82.5,36.6,40.4,6.04,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Black Soil,51.1,45,52,6.79,Bone Meal
Brinjal,Vegetative,Reddish Soil,61.8,28.3,35.9,6.44,Neem Cake
Brinjal,Flowering,Reddish Soil,66.4,30.8,42.3,6.54,Seaweed Extract + Bone Meal
Brinjal,Fruiting,Reddish Soil,58.2,37.5,68.5,6.38,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Sandy Loam,64.4,40.2,53.9,6.24,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Black Soil,48.1,44.2,75.6,6.57,Vermicompost
Brinjal,Fruiting,Reddish Soil,62.7,35.6,75.5,6.58,Wood Ash (Organic Potash) + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Sandy Loam,27.8,17.6,16.7,6.99,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Black Soil,54.1,37,37.5,6.63,Bone Meal
Brinjal,Fruiting,Sandy Loam,50.8,35.8,60.7,6.28,Cow Manure Compost
Brinjal,Seedling,Black Soil,25.7,14.1,10.6,6.77,Jeevamrut
Brinjal,Vegetative,Reddish Soil,74.5,30.4,44.5,6.97,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Black Soil,51,46.9,43.8,6.84,Seaweed Extract
Brinjal,Flowering,Black Soil,69.7,43.3,40.7,7.09,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Reddish Soil,31.9,19.1,24.6,6.23,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Sandy Loam,29.5,12.6,24.2,6.37,Jeevamrut
Brinjal,Seedling,Sandy Loam,29.2,17,15.1,6.31,Vermicompost
Brinjal,Flowering,Black Soil,67.3,43.4,44,6.99,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Sandy Loam,88.9,38,30.4,7,Seaweed Extract
Brinjal,Flowering,Sandy Loam,52.7,39.9,38.4,6.33,Seaweed Extract
Brinjal,Vegetative,Sandy Loam,86,34.5,33.1,6.41,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Sandy Loam,20.1,11.5,11,7.2,Vermicompost + Urea (46% N) (small dose)
Brinjal,Flowering,Black Soil,68.3,35.3,52.9,6.6,Bone Meal
Brinjal,Vegetative,Reddish Soil,78.8,25.5,43.2,6.63,Neem Cake
Brinjal,Fruiting,Sandy Loam,45.4,27,74.9,6.89,Vermicompost
Brinjal,Fruiting,Reddish Soil,50.1,25.4,66.7,6.06,Cow Manure Compost
Brinjal,Vegetative,Black Soil,68.5,25.6,33.1,7.5,Seaweed Extract
Brinjal,Vegetative,Reddish Soil,60.4,35.9,34.5,6.13,Vermicompost
Brinjal,Flowering,Sandy Loam,50.4,44.6,53.7,6.86,Bone Meal
Brinjal,Flowering,Black Soil,62.5,41.6,49.8,7.18,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Black Soil,66.7,30.1,30.2,6.51,Neem Cake
Brinjal,Vegetative,Reddish Soil,71.4,38.2,37.3,6.41,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Reddish Soil,57.1,26.1,86.8,6.53,Wood Ash (Organic Potash)
Brinjal,Seedling,Reddish Soil,34.4,13.1,11.5,6.53,Jeevamrut
Brinjal,Seedling,Black Soil,30,14.4,24.3,7.22,Jeevamrut + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Reddish Soil,28.3,17,16.2,6.14,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Reddish Soil,87.9,27.7,34.8,6.9,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Reddish Soil,55.7,26,60.1,6.24,Wood Ash (Organic Potash)
Brinjal,Vegetative,Black Soil,84.3,25.9,33.9,7.23,Seaweed Extract
Brinjal,Seedling,Reddish Soil,28.9,14.8,19.3,6.01,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Reddish Soil,51.3,33,64.5,6.5,Vermicompost
Brinjal,Vegetative,Sandy Loam,79.4,28.3,33.1,6.88,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Black Soil,56.9,27.5,72.8,6.66,Wood Ash (Organic Potash)
